Column Name,Explanation
breaker 1 (red),Breaker 1 name
breaker 2 (blue),Breaker 2 name
winner,winner
battle rounds,Number of rounds
number of judges,number of judges
breaker 1 round wins,breaker 1 num of rounds won
breaker 2 round wins,breaker 2 number of rounds won
breaker 1 vote count,breater 1 total vote count
breaker 2 vote count,breaker 2 total vote count
judge 1 name,judge 1 name
judge 2 name,judge 2 name
judge 3 name,judge 3 name
judge 4 name,judge 4 name
judge 5 name,judge 5 name
judge 6 name,judge 6 name
judge 7 name,judge 7 name
judge 8 name,judge 8 name
judge 9 name,judge 9 name
r1j1over,round 1 judge 1 overall score
r1j1tech,round 1 judge 1 Technique
r1j1vari,round 1 judge 1 variety
r1j1perf,round1 judge 1 performance
r1j1musi,round 1 judge 1 musicality
r1j1crea,round 1 judge 1 creativity
r1j1pers,round 1 judge 1 personality
r1j1but1,round 1 judge 1 button 1
r1j1but2,round 1 judge 1 button 2
r1j2over,Round 1 Judge 2 Overall Score
r1j2tech,Round 1 Judge 2 Technique
r1j2vari,Round 1 Judge 2 Variety
r1j2perf,Round 1 Judge 2 Performance
r1j2musi,Round 1 Judge 2 Musicality
r1j2crea,Round 1 Judge 2 Creativity
r1j2pers,Round 1 Judge 2 Personality
r1j2but1,Round 1 Judge 2 Button 1
r1j2but2,Round 1 Judge 2 Button 2
r1j3over,Round 1 Judge 3 Overall Score
r1j3tech,Round 1 Judge 3 Technique
r1j3vari,Round 1 Judge 3 Variety
r1j3perf,Round 1 Judge 3 Performance
r1j3musi,Round 1 Judge 3 Musicality
r1j3crea,Round 1 Judge 3 Creativity
r1j3pers,Round 1 Judge 3 Personality
r1j3but1,Round 1 Judge 3 Button 1
r1j3but2,Round 1 Judge 3 Button 2
r1j4over,Round 1 Judge 4 Overall Score
r1j4tech,Round 1 Judge 4 Technique
r1j4vari,Round 1 Judge 4 Variety
r1j4perf,Round 1 Judge 4 Performance
r1j4musi,Round 1 Judge 4 Musicality
r1j4crea,Round 1 Judge 4 Creativity
r1j4pers,Round 1 Judge 4 Personality
r1j4but1,Round 1 Judge 4 Button 1
r1j4but2,Round 1 Judge 4 Button 2
r1j5over,Round 1 Judge 5 Overall Score
r1j5tech,Round 1 Judge 5 Technique
r1j5vari,Round 1 Judge 5 Variety
r1j5perf,Round 1 Judge 5 Performance
r1j5musi,Round 1 Judge 5 Musicality
r1j5crea,Round 1 Judge 5 Creativity
r1j5pers,Round 1 Judge 5 Personality
r1j5but1,Round 1 Judge 5 Button 1
r1j5but2,Round 1 Judge 5 Button 2
r1j6over,Round 1 Judge 6 Overall Score
r1j6tech,Round 1 Judge 6 Technique
r1j6vari,Round 1 Judge 6 Variety
r1j6perf,Round 1 Judge 6 Performance
r1j6musi,Round 1 Judge 6 Musicality
r1j6crea,Round 1 Judge 6 Creativity
r1j6pers,Round 1 Judge 6 Personality
r1j6but1,Round 1 Judge 6 Button 1
r1j6but2,Round 1 Judge 6 Button 2
r1j7over,Round 1 Judge 7 Overall Score
r1j7tech,Round 1 Judge 7 Technique
r1j7vari,Round 1 Judge 7 Variety
r1j7perf,Round 1 Judge 7 Performance
r1j7musi,Round 1 Judge 7 Musicality
r1j7crea,Round 1 Judge 7 Creativity
r1j7pers,Round 1 Judge 7 Personality
r1j7but1,Round 1 Judge 7 Button 1
r1j7but2,Round 1 Judge 7 Button 2
r1j8over,Round 1 Judge 8 Overall Score
r1j8tech,Round 1 Judge 8 Technique
r1j8vari,Round 1 Judge 8 Variety
r1j8perf,Round 1 Judge 8 Performance
r1j8musi,Round 1 Judge 8 Musicality
r1j8crea,Round 1 Judge 8 Creativity
r1j8pers,Round 1 Judge 8 Personality
r1j8but1,Round 1 Judge 8 Button 1
r1j8but2,Round 1 Judge 8 Button 2
r1j9over,Round 1 Judge 9 Overall Score
r1j9tech,Round 1 Judge 9 Technique
r1j9vari,Round 1 Judge 9 Variety
r1j9perf,Round 1 Judge 9 Performance
r1j9musi,Round 1 Judge 9 Musicality
r1j9crea,Round 1 Judge 9 Creativity
r1j9pers,Round 1 Judge 9 Personality
r1j9but1,Round 1 Judge 9 Button 1
r1j9but2,Round 1 Judge 9 Button 2
r2j1over,Round 2 Judge 1 Overall Score
r2j1tech,Round 2 Judge 1 Technique
r2j1vari,Round 2 Judge 1 Variety
r2j1perf,Round 2 Judge 1 Performance
r2j1musi,Round 2 Judge 1 Musicality
r2j1crea,Round 2 Judge 1 Creativity
r2j1pers,Round 2 Judge 1 Personality
r2j1but1,Round 2 Judge 1 Button 1
r2j1but2,Round 2 Judge 1 Button 2
r2j2over,Round 2 Judge 2 Overall Score
r2j2tech,Round 2 Judge 2 Technique
r2j2vari,Round 2 Judge 2 Variety
r2j2perf,Round 2 Judge 2 Performance
r2j2musi,Round 2 Judge 2 Musicality
r2j2crea,Round 2 Judge 2 Creativity
r2j2pers,Round 2 Judge 2 Personality
r2j2but1,Round 2 Judge 2 Button 1
r2j2but2,Round 2 Judge 2 Button 2
r2j3over,Round 2 Judge 3 Overall Score
r2j3tech,Round 2 Judge 3 Technique
r2j3vari,Round 2 Judge 3 Variety
r2j3perf,Round 2 Judge 3 Performance
r2j3musi,Round 2 Judge 3 Musicality
r2j3crea,Round 2 Judge 3 Creativity
r2j3pers,Round 2 Judge 3 Personality
r2j3but1,Round 2 Judge 3 Button 1
r2j3but2,Round 2 Judge 3 Button 2
r2j4over,Round 2 Judge 4 Overall Score
r2j4tech,Round 2 Judge 4 Technique
r2j4vari,Round 2 Judge 4 Variety
r2j4perf,Round 2 Judge 4 Performance
r2j4musi,Round 2 Judge 4 Musicality
r2j4crea,Round 2 Judge 4 Creativity
r2j4pers,Round 2 Judge 4 Personality
r2j4but1,Round 2 Judge 4 Button 1
r2j4but2,Round 2 Judge 4 Button 2
r2j5over,Round 2 Judge 5 Overall Score
r2j5tech,Round 2 Judge 5 Technique
r2j5vari,Round 2 Judge 5 Variety
r2j5perf,Round 2 Judge 5 Performance
r2j5musi,Round 2 Judge 5 Musicality
r2j5crea,Round 2 Judge 5 Creativity
r2j5pers,Round 2 Judge 5 Personality
r2j5but1,Round 2 Judge 5 Button 1
r2j5but2,Round 2 Judge 5 Button 2
r2j6over,Round 2 Judge 6 Overall Score
r2j6tech,Round 2 Judge 6 Technique
r2j6vari,Round 2 Judge 6 Variety
r2j6perf,Round 2 Judge 6 Performance
r2j6musi,Round 2 Judge 6 Musicality
r2j6crea,Round 2 Judge 6 Creativity
r2j6pers,Round 2 Judge 6 Personality
r2j6but1,Round 2 Judge 6 Button 1
r2j6but2,Round 2 Judge 6 Button 2
r2j7over,Round 2 Judge 7 Overall Score
r2j7tech,Round 2 Judge 7 Technique
r2j7vari,Round 2 Judge 7 Variety
r2j7perf,Round 2 Judge 7 Performance
r2j7musi,Round 2 Judge 7 Musicality
r2j7crea,Round 2 Judge 7 Creativity
r2j7pers,Round 2 Judge 7 Personality
r2j7but1,Round 2 Judge 7 Button 1
r2j7but2,Round 2 Judge 7 Button 2
r2j8over,Round 2 Judge 8 Overall Score
r2j8tech,Round 2 Judge 8 Technique
r2j8vari,Round 2 Judge 8 Variety
r2j8perf,Round 2 Judge 8 Performance
r2j8musi,Round 2 Judge 8 Musicality
r2j8crea,Round 2 Judge 8 Creativity
r2j8pers,Round 2 Judge 8 Personality
r2j8but1,Round 2 Judge 8 Button 1
r2j8but2,Round 2 Judge 8 Button 2
r2j9over,Round 2 Judge 9 Overall Score
r2j9tech,Round 2 Judge 9 Technique
r2j9vari,Round 2 Judge 9 Variety
r2j9perf,Round 2 Judge 9 Performance
r2j9musi,Round 2 Judge 9 Musicality
r2j9crea,Round 2 Judge 9 Creativity
r2j9pers,Round 2 Judge 9 Personality
r2j9but1,Round 2 Judge 9 Button 1
r2j9but2,Round 2 Judge 9 Button 2
r3j1over,Round 3 Judge 1 Overall Score
r3j1tech,Round 3 Judge 1 Technique
r3j1vari,Round 3 Judge 1 Variety
r3j1perf,Round 3 Judge 1 Performance
r3j1musi,Round 3 Judge 1 Musicality
r3j1crea,Round 3 Judge 1 Creativity
r3j1pers,Round 3 Judge 1 Personality
r3j1but1,Round 3 Judge 1 Button 1
r3j1but2,Round 3 Judge 1 Button 2
r3j2over,Round 3 Judge 2 Overall Score
r3j2tech,Round 3 Judge 2 Technique
r3j2vari,Round 3 Judge 2 Variety
r3j2perf,Round 3 Judge 2 Performance
r3j2musi,Round 3 Judge 2 Musicality
r3j2crea,Round 3 Judge 2 Creativity
r3j2pers,Round 3 Judge 2 Personality
r3j2but1,Round 3 Judge 2 Button 1
r3j2but2,Round 3 Judge 2 Button 2
r3j3over,Round 3 Judge 3 Overall Score
r3j3tech,Round 3 Judge 3 Technique
r3j3vari,Round 3 Judge 3 Variety
r3j3perf,Round 3 Judge 3 Performance
r3j3musi,Round 3 Judge 3 Musicality
r3j3crea,Round 3 Judge 3 Creativity
r3j3pers,Round 3 Judge 3 Personality
r3j3but1,Round 3 Judge 3 Button 1
r3j3but2,Round 3 Judge 3 Button 2
r3j4over,Round 3 Judge 4 Overall Score
r3j4tech,Round 3 Judge 4 Technique
r3j4vari,Round 3 Judge 4 Variety
r3j4perf,Round 3 Judge 4 Performance
r3j4musi,Round 3 Judge 4 Musicality
r3j4crea,Round 3 Judge 4 Creativity
r3j4pers,Round 3 Judge 4 Personality
r3j4but1,Round 3 Judge 4 Button 1
r3j4but2,Round 3 Judge 4 Button 2
r3j5over,Round 3 Judge 5 Overall Score
r3j5tech,Round 3 Judge 5 Technique
r3j5vari,Round 3 Judge 5 Variety
r3j5perf,Round 3 Judge 5 Performance
r3j5musi,Round 3 Judge 5 Musicality
r3j5crea,Round 3 Judge 5 Creativity
r3j5pers,Round 3 Judge 5 Personality
r3j5but1,Round 3 Judge 5 Button 1
r3j5but2,Round 3 Judge 5 Button 2
r3j6over,Round 3 Judge 6 Overall Score
r3j6tech,Round 3 Judge 6 Technique
r3j6vari,Round 3 Judge 6 Variety
r3j6perf,Round 3 Judge 6 Performance
r3j6musi,Round 3 Judge 6 Musicality
r3j6crea,Round 3 Judge 6 Creativity
r3j6pers,Round 3 Judge 6 Personality
r3j6but1,Round 3 Judge 6 Button 1
r3j6but2,Round 3 Judge 6 Button 2
r3j7over,Round 3 Judge 7 Overall Score
r3j7tech,Round 3 Judge 7 Technique
r3j7vari,Round 3 Judge 7 Variety
r3j7perf,Round 3 Judge 7 Performance
r3j7musi,Round 3 Judge 7 Musicality
r3j7crea,Round 3 Judge 7 Creativity
r3j7pers,Round 3 Judge 7 Personality
r3j7but1,Round 3 Judge 7 Button 1
r3j7but2,Round 3 Judge 7 Button 2
r3j8over,Round 3 Judge 8 Overall Score
r3j8tech,Round 3 Judge 8 Technique
r3j8vari,Round 3 Judge 8 Variety
r3j8perf,Round 3 Judge 8 Performance
r3j8musi,Round 3 Judge 8 Musicality
r3j8crea,Round 3 Judge 8 Creativity
r3j8pers,Round 3 Judge 8 Personality
r3j8but1,Round 3 Judge 8 Button 1
r3j8but2,Round 3 Judge 8 Button 2
r3j9over,Round 3 Judge 9 Overall Score
r3j9tech,Round 3 Judge 9 Technique
r3j9vari,Round 3 Judge 9 Variety
r3j9perf,Round 3 Judge 9 Performance
r3j9musi,Round 3 Judge 9 Musicality
r3j9crea,Round 3 Judge 9 Creativity
r3j9pers,Round 3 Judge 9 Personality
r3j9but1,Round 3 Judge 9 Button 1
r3j9but2,Round 3 Judge 9 Button 2
r4j1over,Round 4 Judge 1 Overall Score
r4j1tech,Round 4 Judge 1 Technique
r4j1vari,Round 4 Judge 1 Variety
r4j1perf,Round 4 Judge 1 Performance
r4j1musi,Round 4 Judge 1 Musicality
r4j1crea,Round 4 Judge 1 Creativity
r4j1pers,Round 4 Judge 1 Personality
r4j1but1,Round 4 Judge 1 Button 1
r4j1but2,Round 4 Judge 1 Button 2
r4j2over,Round 4 Judge 2 Overall Score
r4j2tech,Round 4 Judge 2 Technique
r4j2vari,Round 4 Judge 2 Variety
r4j2perf,Round 4 Judge 2 Performance
r4j2musi,Round 4 Judge 2 Musicality
r4j2crea,Round 4 Judge 2 Creativity
r4j2pers,Round 4 Judge 2 Personality
r4j2but1,Round 4 Judge 2 Button 1
r4j2but2,Round 4 Judge 2 Button 2
r4j3over,Round 4 Judge 3 Overall Score
r4j3tech,Round 4 Judge 3 Technique
r4j3vari,Round 4 Judge 3 Variety
r4j3perf,Round 4 Judge 3 Performance
r4j3musi,Round 4 Judge 3 Musicality
r4j3crea,Round 4 Judge 3 Creativity
r4j3pers,Round 4 Judge 3 Personality
r4j3but1,Round 4 Judge 3 Button 1
r4j3but2,Round 4 Judge 3 Button 2
r4j4over,Round 4 Judge 4 Overall Score
r4j4tech,Round 4 Judge 4 Technique
r4j4vari,Round 4 Judge 4 Variety
r4j4perf,Round 4 Judge 4 Performance
r4j4musi,Round 4 Judge 4 Musicality
r4j4crea,Round 4 Judge 4 Creativity
r4j4pers,Round 4 Judge 4 Personality
r4j4but1,Round 4 Judge 4 Button 1
r4j4but2,Round 4 Judge 4 Button 2
r4j5over,Round 4 Judge 5 Overall Score
r4j5tech,Round 4 Judge 5 Technique
r4j5vari,Round 4 Judge 5 Variety
r4j5perf,Round 4 Judge 5 Performance
r4j5musi,Round 4 Judge 5 Musicality
r4j5crea,Round 4 Judge 5 Creativity
r4j5pers,Round 4 Judge 5 Personality
r4j5but1,Round 4 Judge 5 Button 1
r4j5but2,Round 4 Judge 5 Button 2
r4j6over,Round 4 Judge 6 Overall Score
r4j6tech,Round 4 Judge 6 Technique
r4j6vari,Round 4 Judge 6 Variety
r4j6perf,Round 4 Judge 6 Performance
r4j6musi,Round 4 Judge 6 Musicality
r4j6crea,Round 4 Judge 6 Creativity
r4j6pers,Round 4 Judge 6 Personality
r4j6but1,Round 4 Judge 6 Button 1
r4j6but2,Round 4 Judge 6 Button 2
r4j7over,Round 4 Judge 7 Overall Score
r4j7tech,Round 4 Judge 7 Technique
r4j7vari,Round 4 Judge 7 Variety
r4j7perf,Round 4 Judge 7 Performance
r4j7musi,Round 4 Judge 7 Musicality
r4j7crea,Round 4 Judge 7 Creativity
r4j7pers,Round 4 Judge 7 Personality
r4j7but1,Round 4 Judge 7 Button 1
r4j7but2,Round 4 Judge 7 Button 2
r4j8over,Round 4 Judge 8 Overall Score
r4j8tech,Round 4 Judge 8 Technique
r4j8vari,Round 4 Judge 8 Variety
r4j8perf,Round 4 Judge 8 Performance
r4j8musi,Round 4 Judge 8 Musicality
r4j8crea,Round 4 Judge 8 Creativity
r4j8pers,Round 4 Judge 8 Personality
r4j8but1,Round 4 Judge 8 Button 1
r4j8but2,Round 4 Judge 8 Button 2
r4j9over,Round 4 Judge 9 Overall Score
r4j9tech,Round 4 Judge 9 Technique
r4j9vari,Round 4 Judge 9 Variety
r4j9perf,Round 4 Judge 9 Performance
r4j9musi,Round 4 Judge 9 Musicality
r4j9crea,Round 4 Judge 9 Creativity
r4j9pers,Round 4 Judge 9 Personality
r4j9but1,Round 4 Judge 9 Button 1
r4j9but2,Round 4 Judge 9 Button 2
 r5j1over    , Round 5 Judge 1 Overall Score      
 r5j1tech    , Round 5 Judge 1 Technique          
 r5j1vari    , Round 5 Judge 1 Variety            
 r5j1perf    , Round 5 Judge 1 Performance        
 r5j1musi    , Round 5 Judge 1 Musicality         
 r5j1crea    , Round 5 Judge 1 Creativity         
 r5j1pers    , Round 5 Judge 1 Personality        
 r5j1but1    , Round 5 Judge 1 Button 1           
 r5j1but2    , Round 5 Judge 1 Button 2           
 r5j2over    , Round 5 Judge 2 Overall Score      
 r5j2tech    , Round 5 Judge 2 Technique          
 r5j2vari    , Round 5 Judge 2 Variety            
 r5j2perf    , Round 5 Judge 2 Performance        
 r5j2musi    , Round 5 Judge 2 Musicality         
 r5j2crea    , Round 5 Judge 2 Creativity         
 r5j2pers    , Round 5 Judge 2 Personality        
 r5j2but1    , Round 5 Judge 2 Button 1           
 r5j2but2    , Round 5 Judge 2 Button 2           
 r5j3over    , Round 5 Judge 3 Overall Score      
 r5j3tech    , Round 5 Judge 3 Technique          
 r5j3vari    , Round 5 Judge 3 Variety            
 r5j3perf    , Round 5 Judge 3 Performance        
 r5j3musi    , Round 5 Judge 3 Musicality         
 r5j3crea    , Round 5 Judge 3 Creativity         
 r5j3pers    , Round 5 Judge 3 Personality        
 r5j3but1    , Round 5 Judge 3 Button 1           
 r5j3but2    , Round 5 Judge 3 Button 2           
 r5j4over    , Round 5 Judge 4 Overall Score      
 r5j4tech    , Round 5 Judge 4 Technique          
 r5j4vari    , Round 5 Judge 4 Variety            
 r5j4perf    , Round 5 Judge 4 Performance        
 r5j4musi    , Round 5 Judge 4 Musicality         
 r5j4crea    , Round 5 Judge 4 Creativity         
 r5j4pers    , Round 5 Judge 4 Personality        
 r5j4but1    , Round 5 Judge 4 Button 1           
 r5j4but2    , Round 5 Judge 4 Button 2           
 r5j5over    , Round 5 Judge 5 Overall Score      
 r5j5tech    , Round 5 Judge 5 Technique          
 r5j5vari    , Round 5 Judge 5 Variety            
 r5j5perf    , Round 5 Judge 5 Performance        
 r5j5musi    , Round 5 Judge 5 Musicality         
 r5j5crea    , Round 5 Judge 5 Creativity         
 r5j5pers    , Round 5 Judge 5 Personality        
 r5j5but1    , Round 5 Judge 5 Button 1           
 r5j5but2    , Round 5 Judge 5 Button 2           
 r5j6over    , Round 5 Judge 6 Overall Score      
 r5j6tech    , Round 5 Judge 6 Technique          
 r5j6vari    , Round 5 Judge 6 Variety            
 r5j6perf    , Round 5 Judge 6 Performance        
 r5j6musi    , Round 5 Judge 6 Musicality         
 r5j6crea    , Round 5 Judge 6 Creativity         
 r5j6pers    , Round 5 Judge 6 Personality        
 r5j6but1    , Round 5 Judge 6 Button 1           
 r5j6but2    , Round 5 Judge 6 Button 2           
 r5j7over    , Round 5 Judge 7 Overall Score      
 r5j7tech    , Round 5 Judge 7 Technique          
 r5j7vari    , Round 5 Judge 7 Variety            
 r5j7perf    , Round 5 Judge 7 Performance        
 r5j7musi    , Round 5 Judge 7 Musicality         
 r5j7crea    , Round 5 Judge 7 Creativity         
 r5j7pers    , Round 5 Judge 7 Personality        
 r5j7but1    , Round 5 Judge 7 Button 1           
 r5j7but2    , Round 5 Judge 7 Button 2           
 r5j8over    , Round 5 Judge 8 Overall Score      
 r5j8tech    , Round 5 Judge 8 Technique          
 r5j8vari    , Round 5 Judge 8 Variety            
 r5j8perf    , Round 5 Judge 8 Performance        
 r5j8musi    , Round 5 Judge 8 Musicality         
 r5j8crea    , Round 5 Judge 8 Creativity         
 r5j8pers    , Round 5 Judge 8 Personality        
 r5j8but1    , Round 5 Judge 8 Button 1           
 r5j8but2    , Round 5 Judge 8 Button 2           
 r5j9over    , Round 5 Judge 9 Overall Score      
 r5j9tech    , Round 5 Judge 9 Technique          
 r5j9vari    , Round 5 Judge 9 Variety            
 r5j9perf    , Round 5 Judge 9 Performance        
 r5j9musi    , Round 5 Judge 9 Musicality         
 r5j9crea    , Round 5 Judge 9 Creativity         
 r5j9pers    , Round 5 Judge 9 Personality        
 r5j9but1    , Round 5 Judge 9 Button 1           
 r5j9but2    , Round 5 Judge 9 Button 2           
